RUN,TR,CU,FNAM,PDAT,HWAH,w
449,15,2,ZASP0001,1994013,5532,0.1
450,15,2,ZASP0001,1995013,6538,0.1
451,15,2,ZASP0001,1996013,6504,0.1
452,15,2,ZASP0001,1997013,5414,0.1
453,15,2,ZASP0001,1998013,6544,0.1
454,15,2,ZASP0001,1999013,6555,0.1
455,15,2,ZASP0001,2000013,5815,0.1
456,15,2,ZASP0001,2001013,6392,0.1
457,15,2,ZASP0001,2002013,5501,0.1
458,15,2,ZASP0001,2003013,7676,0.1
459,15,2,ZASP0001,2004013,5993,0.1
460,15,2,ZASP0001,2005013,6974,0.1
461,15,2,ZASP0001,2006013,6041,0.1
462,15,2,ZASP0001,2007013,5836,0.1
463,15,2,ZASP0001,2008013,3661,0.1
464,15,2,ZASP0001,2009013,6833,0.1
465,15,2,ZASP0001,2010013,5526,0.1
466,16,2,ZASP0001,1980028,7558,0.1
467,16,2,ZASP0001,1981028,6730,0.1
468,16,2,ZASP0001,1982028,4968,0.1
469,16,2,ZASP0001,1983028,7760,0.1
470,16,2,ZASP0001,1984028,7723,0.1
471,16,2,ZASP0001,1985028,7222,0.1
472,16,2,ZASP0001,1986028,7544,0.1
473,16,2,ZASP0001,1987028,7207,0.1
474,16,2,ZASP0001,1988028,8207,0.1
475,16,2,ZASP0001,1989028,4244,0.1
476,16,2,ZASP0001,1990028,4927,0.1
477,16,2,ZASP0001,1991028,7962,0.1
478,16,2,ZASP0001,1992028,6345,0.1
479,16,2,ZASP0001,1993028,6737,0.1
480,16,2,ZASP0001,1994028,4332,0.1
481,16,2,ZASP0001,1995028,5026,0.1
482,16,2,ZASP0001,1996028,7390,0.1
483,16,2,ZASP0001,1997028,5504,0.1
484,16,2,ZASP0001,1998028,6216,0.1
485,16,2,ZASP0001,1999028,8261,0.1
486,16,2,ZASP0001,2000028,7387,0.1
487,16,2,ZASP0001,2001028,7065,0.1
488,16,2,ZASP0001,2002028,4336,0.1
489,16,2,ZASP0001,2003028,7734,0.1
490,16,2,ZASP0001,2004028,6561,0.1
491,16,2,ZASP0001,2005028,6831,0.1
492,16,2,ZASP0001,2006028,7455,0.1
493,16,2,ZASP0001,2007028,6345,0.1
494,16,2,ZASP0001,2008028,4952,0.1
495,16,2,ZASP0001,2009028,8141,0.1
496,16,2,ZASP0001,2010028,6544,0.1
497,17,3,ZASP0001,1979288,5687,0.1
498,17,3,ZASP0001,1980288,5008,0.1
499,17,3,ZASP0001,1981288,4488,0.1
500,17,3,ZASP0001,1982288,5375,0.1
501,17,3,ZASP0001,1983288,2392,0.1
502,17,3,ZASP0001,1984288,4712,0.1
503,17,3,ZASP0001,1985288,4634,0.1
504,17,3,ZASP0001,1986288,5374,0.1
505,17,3,ZASP0001,1987288,3820,0.1
506,17,3,ZASP0001,1988288,5009,0.1
507,17,3,ZASP0001,1989288,3344,0.1
